"term1","term2","cooc","id"
"radicalism","adolescence",88,"adolescenceradicalism"
"far right","adolescence",10,"adolescencefar right"
"education","adolescence",9,"adolescenceeducation"
"violence","adolescence",9,"adolescenceviolence"
"religiosity","adolescence",8,"adolescencereligiosity"
"identity","adolescence",7,"adolescenceidentity"
"mental health","adolescence",7,"adolescencemental health"
"radicalism","education",7,"educationradicalism"
"radicalism","far right",7,"far rightradicalism"
"ideology","adolescence",6,"adolescenceideology"
"internet","adolescence",6,"adolescenceinternet"
"islamist","adolescence",6,"adolescenceislamist"
"political engagement","adolescence",6,"adolescencepolitical engagement"
"religiosity","radicalism",6,"radicalismreligiosity"
"adolescence","activism",5,"activismadolescence"
"culture","adolescence",5,"adolescenceculture"
"radicalism","identity",5,"identityradicalism"
"radicalism","ideology",5,"ideologyradicalism"
"radicalism","internet",5,"internetradicalism"
"radicalism","islamist",5,"islamistradicalism"
"radicalism","mental health",5,"mental healthradicalism"
"violence","radicalism",5,"radicalismviolence"
