"term1","term2","cooc","id"
"radicalism","far left",85,"far leftradicalism"
"politics","far left",33,"far leftpolitics"
"radicalism","politics",30,"politicsradicalism"
"far left","economy",28,"economyfar left"
"far right","far left",27,"far leftfar right"
"far left","elections",26,"electionsfar left"
"radicalism","economy",25,"economyradicalism"
"radicalism","far right",25,"far rightradicalism"
"status","far left",22,"far leftstatus"
"radicalism","elections",21,"electionsradicalism"
"ideology","far left",21,"far leftideology"
"justice","far left",19,"far leftjustice"
"status","radicalism",18,"radicalismstatus"
"immigration","far left",17,"far leftimmigration"
"radicalism","ideology",17,"ideologyradicalism"
"islamist","far left",16,"far leftislamist"
"radicalism","justice",16,"justiceradicalism"
