"term1","term2","cooc","id"
"radicalism","far right",271,"far rightradicalism"
"populism","far right",66,"far rightpopulism"
"immigration","far right",57,"far rightimmigration"
"radicalism","populism",51,"populismradicalism"
"far right","elections",46,"electionsfar right"
"nationalism","far right",44,"far rightnationalism"
"radicalism","elections",32,"electionsradicalism"
"radicalism","nationalism",32,"nationalismradicalism"
"radicalism","immigration",30,"immigrationradicalism"
"politics","far right",23,"far rightpolitics"
"internet","far right",22,"far rightinternet"
"identity","far right",20,"far rightidentity"
"sex","far right",20,"far rightsex"
"radicalism","internet",19,"internetradicalism"
"far right","far left",18,"far leftfar right"
"prejudice","far right",18,"far rightprejudice"
"social media","far right",18,"far rightsocial media"
"far right","crisis",17,"crisisfar right"
"norms","far right",17,"far rightnorms"
"radicalism","far left",16,"far leftradicalism"
"islamist","far right",16,"far rightislamist"
"radicalism","politics",16,"politicsradicalism"
"radicalism","identity",15,"identityradicalism"
"radicalism","norms",15,"normsradicalism"
"sex","radicalism",15,"radicalismsex"
"far right","culture",14,"culturefar right"
"racism","far right",14,"far rightracism"
"religiosity","far right",14,"far rightreligiosity"
"populism","nationalism",14,"nationalismpopulism"
"social media","radicalism",14,"radicalismsocial media"
"far right","criminality",13,"criminalityfar right"
"far right","economy",13,"economyfar right"
"far right","employment",13,"employmentfar right"
"social movements","far right",13,"far rightsocial movements"
"radicalism","islamist",13,"islamistradicalism"
"radicalism","prejudice",13,"prejudiceradicalism"
"far right","authoritarianism",12,"authoritarianismfar right"
"islamophobia","far right",12,"far rightislamophobia"
"populism","immigration",12,"immigrationpopulism"
"radicalism","criminality",11,"criminalityradicalism"
"far right","democracy",11,"democracyfar right"
"far right","discourse",11,"discoursefar right"
"superiority","far right",11,"far rightsuperiority"
"far right","adolescence",10,"adolescencefar right"
"far right","deprivation",10,"deprivationfar right"
"far right","emotion",10,"emotionfar right"
"golden dawn","far right",10,"far rightgolden dawn"
"hate","far right",10,"far righthate"
"justice","far right",10,"far rightjustice"
"white race","far right",10,"far rightwhite race"
"religiosity","radicalism",10,"radicalismreligiosity"
"immigration","crisis",9,"crisisimmigration"
"radicalism","crisis",9,"crisisradicalism"
"radicalism","democracy",9,"democracyradicalism"
"radicalism","deprivation",9,"deprivationradicalism"
"immigration","elections",9,"electionsimmigration"
"radicalism","employment",9,"employmentradicalism"
"mobilization","far right",9,"far rightmobilization"
"threat","far right",9,"far rightthreat"
"vox","far right",9,"far rightvox"
"radicalism","hate",9,"hateradicalism"
"nationalism","immigration",9,"immigrationnationalism"
"radicalism","authoritarianism",8,"authoritarianismradicalism"
"far right","competition",8,"competitionfar right"
"radicalism","emotion",8,"emotionradicalism"
"ideology","far right",8,"far rightideology"
"masculinity","far right",8,"far rightmasculinity"
"trust","far right",8,"far righttrust"
"violence","far right",8,"far rightviolence"
"far right","activism",7,"activismfar right"
"radicalism","adolescence",7,"adolescenceradicalism"
"radicalism","culture",7,"cultureradicalism"
"right wing populism","far right",7,"far rightright wing populism"
"radicalism","islamophobia",7,"islamophobiaradicalism"
"prejudice","populism",7,"populismprejudice"
"radicalism","racism",7,"racismradicalism"
"superiority","radicalism",7,"radicalismsuperiority"
"vox","radicalism",7,"radicalismvox"
"white race","superiority",7,"superioritywhite race"
"elections","competition",6,"competitionelections"
"radicalism","competition",6,"competitionradicalism"
"radicalism","discourse",6,"discourseradicalism"
"radicalism","economy",6,"economyradicalism"
"far right","education",6,"educationfar right"
"populism","elections",6,"electionspopulism"
"far right","euroscepticism",6,"euroscepticismfar right"
"radicalism","euroscepticism",6,"euroscepticismradicalism"
"polarization","far right",6,"far rightpolarization"
"politics","immigration",6,"immigrationpolitics"
"radicalism","justice",6,"justiceradicalism"
"radicalism","masculinity",6,"masculinityradicalism"
"radicalism","mobilization",6,"mobilizationradicalism"
"prejudice","nationalism",6,"nationalismprejudice"
"radicalism","polarization",6,"polarizationradicalism"
"religiosity","populism",6,"populismreligiosity"
"threat","radicalism",6,"radicalismthreat"
