"term1","term2","cooc","id"
"radicalism","far right",383,"far rightradicalism"
"politics","far right",159,"far rightpolitics"
"far right","elections",141,"electionsfar right"
"radicalism","politics",117,"politicsradicalism"
"immigration","far right",107,"far rightimmigration"
"radicalism","elections",99,"electionsradicalism"
"ideology","far right",85,"far rightideology"
"politics","elections",83,"electionspolitics"
"radicalism","immigration",82,"immigrationradicalism"
"far right","economy",80,"economyfar right"
"radicalism","ideology",78,"ideologyradicalism"
"far right","culture",68,"culturefar right"
"nationalism","far right",68,"far rightnationalism"
"far right","employment",66,"employmentfar right"
"radicalism","economy",63,"economyradicalism"
"society","far right",60,"far rightsociety"
"far right","cognition",59,"cognitionfar right"
"internet","far right",59,"far rightinternet"
"threat","far right",59,"far rightthreat"
"society","radicalism",59,"radicalismsociety"
"state","far right",58,"far rightstate"
"superiority","far right",58,"far rightsuperiority"
"far right","activism",57,"activismfar right"
"social network","far right",56,"far rightsocial network"
"politics","immigration",55,"immigrationpolitics"
"radicalism","culture",54,"cultureradicalism"
"immigration","elections",54,"electionsimmigration"
"radicalism","employment",53,"employmentradicalism"
"populism","far right",53,"far rightpopulism"
"threat","radicalism",53,"radicalismthreat"
"radicalism","cognition",52,"cognitionradicalism"
"identity","far right",51,"far rightidentity"
"sex","far right",51,"far rightsex"
"radicalism","internet",51,"internetradicalism"
"superiority","radicalism",51,"radicalismsuperiority"
"far right","democracy",50,"democracyfar right"
"social network","radicalism",50,"radicalismsocial network"
"radicalism","nationalism",49,"nationalismradicalism"
"language","far right",48,"far rightlanguage"
"norms","far right",48,"far rightnorms"
"radicalism","norms",48,"normsradicalism"
"far right","criminality",47,"criminalityfar right"
"radicalism","identity",47,"identityradicalism"
"state","radicalism",47,"radicalismstate"
"politics","economy",46,"economypolitics"
"justice","far right",46,"far rightjustice"
"mobilization","far right",46,"far rightmobilization"
"violence","far right",46,"far rightviolence"
"radicalism","activism",45,"activismradicalism"
"far right","discourse",45,"discoursefar right"
"region","far right",45,"far rightregion"
"sex","radicalism",45,"radicalismsex"
"radicalism","criminality",44,"criminalityradicalism"
"far right","emotion",43,"emotionfar right"
"far right","authoritarianism",42,"authoritarianismfar right"
"security","far right",42,"far rightsecurity"
"status","far right",42,"far rightstatus"
"violence","radicalism",42,"radicalismviolence"
"radicalism","democracy",41,"democracyradicalism"
"elections","economy",41,"economyelections"
"radicalism","language",41,"languageradicalism"
"far right","deprivation",40,"deprivationfar right"
"radicalism","populism",40,"populismradicalism"
"radicalism","emotion",38,"emotionradicalism"
"radicalism","authoritarianism",37,"authoritarianismradicalism"
"far right","crisis",37,"crisisfar right"
"radicalism","justice",37,"justiceradicalism"
"radicalism","mobilization",37,"mobilizationradicalism"
"security","radicalism",37,"radicalismsecurity"
"far right","adolescence",36,"adolescencefar right"
"far right","conflict",35,"conflictfar right"
"radicalism","deprivation",35,"deprivationradicalism"
"radicalism","discourse",35,"discourseradicalism"
"far right","diversity",34,"diversityfar right"
"far right","family",34,"familyfar right"
"populism","politics",34,"politicspopulism"
"status","radicalism",34,"radicalismstatus"
