doc_id,term,freq
50129,goal shielding,1
50129,radicalism,1
50129,passion,1
50129,significance quest,1
2624,fundamentalism,1
2624,radicalism,1
35510,political neuroscience,1
35510,radicalism,1
35510,social neuroscience,1
35510,microsociology,1
35510,group process,1
728,radicalism,1
728,autocratic leadership,1
728,uncertainty,1
728,populism,1
728,identity,1
43755,significance quest,1
43755,violence,1
43755,radicalism,1
1578,significance quest,1
1578,violence,1
1578,radicalism,1
1578,conspiracy,1
44258,radicalism,1
44258,internet,1
44258,lone actor,1
44258,far right,1
44258,causal mechanisms,1
2709,immigration,1
2709,deprivation,1
2709,radicalism,1
2709,birthplace,1
2709,anger,1
2709,violent behavioral intentions,1
2709,justice,1
2709,open materials,1
2709,identity,1
870,identity,1
870,radicalism,1
870,life attachment,1
47294,situational action theory,1
47294,self control,1
47294,radicalism,1
50585,radicalism,1
50585,social exclusion,1
50585,threat,1
50585,group process,1
50585,identity,1
1363,personality,1
1363,culture,1
1363,radicalism,1
1328,qualitative data,1
1328,radicalism,1
1328,interviews,1
789,identity,1
789,radicalism,1
6785,radicalism,1
6785,autonomy,1
6785,conspiracy,1
6785,self control,1
6785,cynicism,1
28843,radicalism,1
28843,significance quest,1
28843,threat,1
28843,inhibition,1
28843,affirmation,1
434,semi structured interviews,1
434,identity,1
434,optimal distinctiveness,1
434,radicalism,1
43581,justice,1
43581,dark triad,1
43581,deprivation,1
43581,radicalism,1
1666,education,1
1666,radicalism,1
1666,intergroup attitudes,1
1666,superiority,1
1666,finnish vocational school students,1
996,boredom,1
996,propaganda,1
996,radicalism,1
996,social media,1
996,uncertainty,1
984,adolescence,1
984,radicalism,1
48895,justice,1
48895,ideology,1
48895,radicalism,1
48895,adolescence,1
643,adolescence,1
643,radicalism,1
643,discrimination,1
27955,adolescence,1
27955,radicalism,1
27955,islamist,1
27955,religiosity,1
1004,activism,1
1004,morality,1
1004,radicalism,1
1004,social exclusion,1
1004,adolescence,1
1004,identity,1
922,far right,1
922,adolescence,1
922,radicalism,1
1116,cognition,1
1116,adolescence,1
1116,radicalism,1
1116,violence,1
1674,radicalism,1
1674,entitativity,1
1674,group process,1
1674,uncertainty,1
1674,identity,1
815,far right,1
815,radicalism,1
2554,deprivation,1
2554,radicalism,1
2554,cognition,1
2554,trait forgiveness,1
2554,trait entitlement,1
2554,significance quest,1
2554,need for uniqueness,1
2554,self control,1
18382,justice,1
18382,authoritarianism,1
18382,radicalism,1
18382,risk taking,1
874,radicalism,1
874,social change,1
4721,nationalism,1
4721,radicalism,1
4721,morality,1
4721,threat,1
4721,right wing group membership,1
4721,racism,1
4721,vandalism,1
4721,justice,1
4721,self control,1
932,development,1
932,radicalism,1
1016,social influence,1
1016,activism,1
1016,radicalism,1
1016,social interaction,1
1016,identity,1
48700,group relations,1
48700,identity,1
48700,radicalism,1
50530,college students,1
50530,violence,1
50530,radicalism,1
50530,religiosity,1
924,fundamentalism,1
924,identity,1
924,radicalism,1
924,muslim youth,1
657,post war sri lanka,1
657,push factors,1
657,adolescence,1
657,radicalism,1
49748,social media,1
49748,radicalism,1
48473,islamist,1
48473,radicalism,1
48473,populism,1
48473,nationalism,1
944,fs,1
944,radicalism,1
1019,goal systems,1
1019,significance quest,1
1019,radicalism,1
756,islamist,1
756,radicalism,1
756,morality,1
756,social control,1
15440,structural equation modeling,1
15440,self control,1
15440,cynicism,1
15440,radicalism,1
744,islamist,1
