"term1","term2","cooc","id"
"radicalism","adolescence",283,"adolescenceradicalism"
"education","adolescence",74,"adolescenceeducation"
"radicalism","education",71,"educationradicalism"
"social network","adolescence",69,"adolescencesocial network"
"society","adolescence",68,"adolescencesociety"
"identity","adolescence",62,"adolescenceidentity"
"social network","radicalism",62,"radicalismsocial network"
"society","radicalism",60,"radicalismsociety"
"sex","adolescence",58,"adolescencesex"
"family","adolescence",57,"adolescencefamily"
"radicalism","identity",57,"identityradicalism"
"cognition","adolescence",54,"adolescencecognition"
"ideology","adolescence",53,"adolescenceideology"
"conflict","adolescence",52,"adolescenceconflict"
"criminality","adolescence",52,"adolescencecriminality"
"radicalism","family",52,"familyradicalism"
"radicalism","ideology",51,"ideologyradicalism"
"radicalism","cognition",50,"cognitionradicalism"
"sex","radicalism",49,"radicalismsex"
"internet","adolescence",45,"adolescenceinternet"
"radicalism","criminality",45,"criminalityradicalism"
"deprivation","adolescence",44,"adolescencedeprivation"
"security","adolescence",44,"adolescencesecurity"
"state","adolescence",44,"adolescencestate"
"violence","adolescence",44,"adolescenceviolence"
"culture","adolescence",43,"adolescenceculture"
"radicalism","conflict",43,"conflictradicalism"
"radicalism","deprivation",42,"deprivationradicalism"
"radicalism","internet",42,"internetradicalism"
"emotion","adolescence",41,"adolescenceemotion"
"state","radicalism",41,"radicalismstate"
"age","adolescence",40,"adolescenceage"
"superiority","adolescence",40,"adolescencesuperiority"
"security","radicalism",40,"radicalismsecurity"
"threat","adolescence",39,"adolescencethreat"
"radicalism","age",38,"ageradicalism"
"radicalism","culture",38,"cultureradicalism"
"radicalism","emotion",38,"emotionradicalism"
"violence","radicalism",38,"radicalismviolence"
"employment","adolescence",37,"adolescenceemployment"
"justice","adolescence",37,"adolescencejustice"
"threat","radicalism",37,"radicalismthreat"
"far right","adolescence",36,"adolescencefar right"
"superiority","radicalism",36,"radicalismsuperiority"
"religiosity","adolescence",35,"adolescencereligiosity"
"norms","adolescence",34,"adolescencenorms"
"radicalism","justice",34,"justiceradicalism"
"radicalism","far right",33,"far rightradicalism"
