"term1","term2","cooc","id"
"radicalism","far right",384,"far rightradicalism"
"politics","far right",159,"far rightpolitics"
"far right","elections",141,"electionsfar right"
"radicalism","politics",118,"politicsradicalism"
"immigration","far right",107,"far rightimmigration"
"radicalism","elections",99,"electionsradicalism"
"ideology","far right",85,"far rightideology"
"politics","elections",82,"electionspolitics"
"radicalism","immigration",82,"immigrationradicalism"
"far right","economy",80,"economyfar right"
"radicalism","ideology",78,"ideologyradicalism"
"far right","culture",68,"culturefar right"
"nationalism","far right",68,"far rightnationalism"
"far right","employment",66,"employmentfar right"
"threat","far right",66,"far rightthreat"
"radicalism","economy",63,"economyradicalism"
"society","far right",60,"far rightsociety"
"far right","cognition",59,"cognitionfar right"
"internet","far right",59,"far rightinternet"
"society","radicalism",59,"radicalismsociety"
"threat","radicalism",59,"radicalismthreat"
"state","far right",58,"far rightstate"
"superiority","far right",58,"far rightsuperiority"
"far right","activism",56,"activismfar right"
"social network","far right",56,"far rightsocial network"
"politics","immigration",55,"immigrationpolitics"
"radicalism","culture",54,"cultureradicalism"
"immigration","elections",54,"electionsimmigration"
"populism","far right",54,"far rightpopulism"
"radicalism","employment",53,"employmentradicalism"
"radicalism","cognition",52,"cognitionradicalism"
"identity","far right",51,"far rightidentity"
"sex","far right",51,"far rightsex"
"radicalism","internet",51,"internetradicalism"
"superiority","radicalism",51,"radicalismsuperiority"
"far right","democracy",50,"democracyfar right"
"violence","far right",50,"far rightviolence"
"social network","radicalism",50,"radicalismsocial network"
"language","far right",49,"far rightlanguage"
"radicalism","nationalism",49,"nationalismradicalism"
"norms","far right",48,"far rightnorms"
"radicalism","norms",48,"normsradicalism"
"far right","criminality",47,"criminalityfar right"
"radicalism","identity",47,"identityradicalism"
"state","radicalism",47,"radicalismstate"
"politics","economy",46,"economypolitics"
"justice","far right",46,"far rightjustice"
"mobilization","far right",46,"far rightmobilization"
"violence","radicalism",46,"radicalismviolence"
"far right","discourse",45,"discoursefar right"
"region","far right",45,"far rightregion"
"sex","radicalism",45,"radicalismsex"
"radicalism","activism",44,"activismradicalism"
"radicalism","criminality",44,"criminalityradicalism"
"far right","authoritarianism",42,"authoritarianismfar right"
"security","far right",42,"far rightsecurity"
"status","far right",42,"far rightstatus"
"radicalism","language",42,"languageradicalism"
"radicalism","democracy",41,"democracyradicalism"
"elections","economy",41,"economyelections"
"radicalism","populism",41,"populismradicalism"
"far right","deprivation",40,"deprivationfar right"
"far right","emotion",40,"emotionfar right"
"radicalism","authoritarianism",37,"authoritarianismradicalism"
"far right","crisis",37,"crisisfar right"
"radicalism","justice",37,"justiceradicalism"
"radicalism","mobilization",37,"mobilizationradicalism"
"security","radicalism",37,"radicalismsecurity"
"far right","adolescence",36,"adolescencefar right"
"far right","conflict",35,"conflictfar right"
"radicalism","deprivation",35,"deprivationradicalism"
"radicalism","discourse",35,"discourseradicalism"
"radicalism","emotion",35,"emotionradicalism"
"populism","politics",35,"politicspopulism"
"far right","diversity",34,"diversityfar right"
"far right","family",34,"familyfar right"
"status","radicalism",34,"radicalismstatus"
