"term1","term2","cooc","id"
"radicalism","foreign fighter",58,"foreign fighterradicalism"
"islamist","foreign fighter",37,"foreign fighterislamist"
"foreign fighter","conflict",32,"conflictforeign fighter"
"radicalism","islamist",27,"islamistradicalism"
"state","foreign fighter",23,"foreign fighterstate"
"radicalism","conflict",21,"conflictradicalism"
"region","foreign fighter",19,"foreign fighterregion"
"state","radicalism",19,"radicalismstate"
"social network","foreign fighter",18,"foreign fightersocial network"
"religiosity","foreign fighter",17,"foreign fighterreligiosity"
"security","foreign fighter",15,"foreign fightersecurity"
"region","radicalism",15,"radicalismregion"
"social network","radicalism",15,"radicalismsocial network"
"internet","foreign fighter",14,"foreign fighterinternet"
"threat","foreign fighter",14,"foreign fighterthreat"
"threat","radicalism",14,"radicalismthreat"
"islamist","conflict",13,"conflictislamist"
"foreign fighter","economy",13,"economyforeign fighter"
"international","foreign fighter",13,"foreign fighterinternational"
"state","islamist",13,"islamiststate"
"security","radicalism",13,"radicalismsecurity"
"radicalism","internet",12,"internetradicalism"
"sex","foreign fighter",11,"foreign fightersex"
"society","foreign fighter",11,"foreign fightersociety"
"region","islamist",11,"islamistregion"
"region","conflict",10,"conflictregion"
"radicalism","economy",10,"economyradicalism"
"recruitment","foreign fighter",10,"foreign fighterrecruitment"
"recruitment","radicalism",10,"radicalismrecruitment"
"religiosity","radicalism",10,"radicalismreligiosity"
"state","conflict",9,"conflictstate"
"religiosity","islamist",9,"islamistreligiosity"
"society","radicalism",9,"radicalismsociety"
"international","conflict",8,"conflictinternational"
"security","conflict",8,"conflictsecurity"
"foreign fighter","deprivation",8,"deprivationforeign fighter"
"radicalism","deprivation",8,"deprivationradicalism"
"foreign fighter","education",8,"educationforeign fighter"
"ideology","foreign fighter",8,"foreign fighterideology"
"norms","foreign fighter",8,"foreign fighternorms"
"radicalism","international",8,"internationalradicalism"
"radicalism","norms",8,"normsradicalism"
"religiosity","conflict",7,"conflictreligiosity"
"foreign fighter","criminality",7,"criminalityforeign fighter"
"foreign fighter","culture",7,"cultureforeign fighter"
"foreign fighter","employment",7,"employmentforeign fighter"
"identity","foreign fighter",7,"foreign fighteridentity"
"integration","foreign fighter",7,"foreign fighterintegration"
"mobilization","foreign fighter",7,"foreign fightermobilization"
"radicalism","integration",7,"integrationradicalism"
"islamist","international",7,"internationalislamist"
"sex","islamist",7,"islamistsex"
"social network","islamist",7,"islamistsocial network"
"society","islamist",7,"islamistsociety"
"state","security",7,"securitystate"
"sex","conflict",6,"conflictsex"
"social network","conflict",6,"conflictsocial network"
"threat","conflict",6,"conflictthreat"
"radicalism","criminality",6,"criminalityradicalism"
"islamist","economy",6,"economyislamist"
"radicalism","education",6,"educationradicalism"
"immigration","foreign fighter",6,"foreign fighterimmigration"
"justice","foreign fighter",6,"foreign fighterjustice"
"policy","foreign fighter",6,"foreign fighterpolicy"
"status","foreign fighter",6,"foreign fighterstatus"
"superiority","foreign fighter",6,"foreign fightersuperiority"
"islamist","ideology",6,"ideologyislamist"
"radicalism","ideology",6,"ideologyradicalism"
"state","international",6,"internationalstate"
"islamist","internet",6,"internetislamist"
"sex","radicalism",6,"radicalismsex"
"social network","region",6,"regionsocial network"
"threat","security",6,"securitythreat"
"threat","state",6,"statethreat"
"foreign fighter","age",5,"ageforeign fighter"
"mobilization","conflict",5,"conflictmobilization"
"recruitment","conflict",5,"conflictrecruitment"
"foreign fighter","country muslim",5,"country muslimforeign fighter"
"radicalism","culture",5,"cultureradicalism"
"foreign fighter","discourse",5,"discourseforeign fighter"
"religiosity","economy",5,"economyreligiosity"
"islamist","employment",5,"employmentislamist"
"radicalism","employment",5,"employmentradicalism"
"propaganda","foreign fighter",5,"foreign fighterpropaganda"
"radicalism","identity",5,"identityradicalism"
"region","ideology",5,"ideologyregion"
"security","international",5,"internationalsecurity"
"region","internet",5,"internetregion"
"state","internet",5,"internetstate"
"recruitment","islamist",5,"islamistrecruitment"
"security","islamist",5,"islamistsecurity"
"security","norms",5,"normssecurity"
"radicalism","policy",5,"policyradicalism"
"radicalism","propaganda",5,"propagandaradicalism"
"status","radicalism",5,"radicalismstatus"
"superiority","radicalism",5,"radicalismsuperiority"
"society","region",5,"regionsociety"
"social network","religiosity",5,"religiositysocial network"
"state","religiosity",5,"religiositystate"
"social network","security",5,"securitysocial network"
