"term1","term2","cooc","id"
"radicalism","islamist",401,"islamistradicalism"
"religiosity","islamist",132,"islamistreligiosity"
"islamist","ideology",108,"ideologyislamist"
"religiosity","radicalism",104,"radicalismreligiosity"
"state","islamist",103,"islamiststate"
"radicalism","ideology",94,"ideologyradicalism"
"islamist","conflict",87,"conflictislamist"
"islamist","identity",83,"identityislamist"
"region","islamist",81,"islamistregion"
"state","radicalism",81,"radicalismstate"
"social network","islamist",80,"islamistsocial network"
"social network","radicalism",73,"radicalismsocial network"
"islamist","internet",71,"internetislamist"
"society","islamist",70,"islamistsociety"
"radicalism","identity",69,"identityradicalism"
"region","radicalism",68,"radicalismregion"
"islamist","deprivation",67,"deprivationislamist"
"norms","islamist",66,"islamistnorms"
"radicalism","conflict",65,"conflictradicalism"
"islamist","culture",65,"cultureislamist"
"violence","islamist",65,"islamistviolence"
"radicalism","internet",64,"internetradicalism"
"threat","islamist",64,"islamistthreat"
"threat","radicalism",61,"radicalismthreat"
"superiority","islamist",59,"islamistsuperiority"
"society","radicalism",59,"radicalismsociety"
"sex","islamist",58,"islamistsex"
"justice","islamist",57,"islamistjustice"
"radicalism","norms",57,"normsradicalism"
"radicalism","culture",55,"cultureradicalism"
"violence","radicalism",54,"radicalismviolence"
"radicalism","deprivation",53,"deprivationradicalism"
"islamist","cognition",48,"cognitionislamist"
"superiority","radicalism",47,"radicalismsuperiority"
"islamist","activism",46,"activismislamist"
"islamist","criminality",46,"criminalityislamist"
"security","islamist",46,"islamistsecurity"
"islamist","economy",45,"economyislamist"
"sex","radicalism",45,"radicalismsex"
"radicalism","justice",44,"justiceradicalism"
"radicalism","cognition",43,"cognitionradicalism"
"radicalism","criminality",43,"criminalityradicalism"
"politics","islamist",43,"islamistpolitics"
"mobilization","islamist",40,"islamistmobilization"
"security","radicalism",40,"radicalismsecurity"
"islamist","discourse",39,"discourseislamist"
"islamist","international",39,"internationalislamist"
"language","islamist",39,"islamistlanguage"
"propaganda","islamist",39,"islamistpropaganda"
"islamist","authoritarianism",37,"authoritarianismislamist"
"islamist","foreign fighter",37,"foreign fighterislamist"
"state","religiosity",37,"religiositystate"
"radicalism","activism",36,"activismradicalism"
"islamist","diversity",36,"diversityislamist"
"islamist","emotion",36,"emotionislamist"
"islamist","employment",36,"employmentislamist"
"social exclusion","islamist",36,"islamistsocial exclusion"
"radicalism","propaganda",36,"propagandaradicalism"
