doc_id,term,freq
50129,ideology violent,1
50129,activism,1
50129,collective significance,1
50129,radicalism,1
50129,support violent,1
50129,passion,1
50129,personal collective,1
50129,significance gain,1
50129,significance quest,1
2624,religiosity,1
2624,threat,1
2624,radicalism,1
2624,violence suicide,1
2624,practical finding,1
2624,fundamentalism,1
2624,diversity,1
2624,violence social,1
2624,attack relationship,1
2624,religiosity religious,1
2624,social religious,1
35510,violence attack,1
35510,comprehensive understanding,1
35510,dogmatism,1
35510,support extreme,1
35510,neural,1
35510,radicalism,1
35510,extreme violence,1
35510,integration,1
35510,employment,1
35510,cognition,1
35510,norms,1
35510,personality,1
43427,threat,1
43427,radicalism,1
43427,uncertainty,1
43427,violent intention,1
43427,emotion,1
43427,violence violent,1
43427,muslim youth,1
43427,authoritarianism,1
43427,justice,1
43427,attitude violence,1
43427,system justification,1
43427,society,1
43427,superiority,1
986,radicalism,1
986,identity,1
728,radicalism,1
728,uncertainty,1
728,identity,1
728,ideology,1
728,populism,1
728,conspiracy,1
728,support populist,1
728,consensus,1
623,activism,1
623,support extreme,1
623,radicalism,1
623,support violent,1
623,uncertainty,1
623,identity,1
623,discussion policy,1
623,authoritarianism,1
623,society,1
43755,family member,1
43755,radicalism,1
43755,economy,1
43755,member social,1
43755,friend family,1
43755,violence perpetrator,1
43755,use violence,1
43755,violence,1
43755,social network,1
43755,criminality,1
43755,significance quest,1
43755,social exclusion,1
49110,nationalism,1
49110,radicalism,1
49110,ideology,1
49110,fundamentalism,1
1578,conspiracy,1
1578,employment,1
1578,norms,1
1578,justice,1
1578,social network,1
1578,friend family,1
1578,radicalism,1
44258,ideology violence,1
44258,radicalism,1
44258,far right,1
44258,violence case,1
44258,ideology,1
44258,lone actor,1
44258,internet,1
44258,polarization,1
2709,threat,1
2709,social network,1
2709,attack western,1
2709,islamist,1
2709,deprivation,1
2709,radicalism,1
2709,society,1
2709,violent intention,1
870,radicalism,1
870,identity,1
870,various aspect,1
870,norms,1
870,insecure attachment,1
47294,young adult,1
47294,morality,1
47294,adolescence,1
47294,violence key,1
47294,radicalism,1
47294,key proposition,1
50585,threat,1
50585,islamist,1
50585,radicalism,1
50585,identity,1
50585,integration,1
50585,superiority,1
50585,employment,1
50585,empathy,1
50585,social exclusion,1
1363,radicalism,1
1363,long term,1
1363,international,1
1363,emotion,1
1363,culture,1
1363,social environment,1
1363,cognition,1
1363,personality,1
1328,practical implication,1
1328,radicalism,1
1328,different reason,1
1328,uncertainty,1
1328,identity,1
1328,ideology,1
1328,semi structured,1
1328,norms,1
1328,justice,1
789,islamist,1
789,radicalism,1
789,future research,1
789,employment,1
789,sex,1
789,norms,1
789,social exclusion,1
44041,discrimination,1
44041,dogmatism,1
44041,activism,1
44041,political attitude,1
44041,radicalism,1
44041,confidence,1
44041,belief political,1
44041,cognition,1
44041,political religious,1
44041,consensus,1
44041,polarization,1
44041,society,1
6785,dogmatism,1
6785,radicalism,1
6785,morality,1
6785,intention relationship,1
6785,conspiracy,1
6785,high strong,1
6785,belief violent,1
28843,threat,1
28843,radicalism,1
28843,conflict,1
28843,extreme belief,1
28843,social psychological,1
28843,c elsevi right,1
28843,significance quest,1
434,majority member,1
434,white race,1
434,semi structured,1
434,sex,1
434,society,1
434,avenue future,1
434,superiority,1
46311,radicalism,1
46311,far right,1
46311,social cohesion,1
46311,youth social,1
46311,society,1
46311,adolescence,1
46311,culture,1
46311,family,1
46311,social network,1
46311,german youth,1
46311,criminality,1
46311,general right wing,1
50594,activism,1
50594,radicalism,1
50594,social psychological,1
50594,identity,1
50594,light potential,1
50594,adolescence,1
50594,authoritarianism,1
50594,democracy,1
50594,system justification,1
1283,discrimination,1
1283,sex,1
1283,society,1
1283,satisfaction,1
1283,adolescence,1
1283,radicalism,1
1283,integration,1
43581,activism,1
43581,anger,1
43581,radicalism,1
43581,social desirability bias,1
43581,student political,1
43581,emotion,1
43581,deprivation,1
43581,disgust,1
43581,justice,1
43581,dark triad,1
43581,explanatory power,1
1666,radicalism,1
1666,ideology,1
1666,security,1
1666,adolescence,1
1666,education,1
1666,open minded,1
1666,cognition,1
1666,justice,1
1666,institutions,1
1666,society,1
1666,superiority,1
1666,social exclusion,1
996,fertile ground,1
996,modern world,1
996,radicalism,1
996,uncertainty,1
996,identity,1
996,young people,1
996,adolescence,1
996,boredom,1
996,internet,1
996,young social,1
996,social network,1
996,state,1
996,use social,1
984,discrimination,1
984,threat,1
984,activism,1
984,radicalism,1
984,far right,1
984,identity,1
984,aggression,1
984,adolescence,1
984,education,1
984,family,1
984,great willingness,1
984,poverty,1
984,authoritarianism,1
984,sex,1
984,minority,1
984,justice,1
984,social network,1
984,criminality,1
984,system justification,1
984,society,1
984,superiority,1
984,personality,1
48895,right wing orientation,1
48895,activism,1
48895,radicalism,1
48895,far right,1
48895,future research,1
48895,ideology,1
48895,far left,1
48895,political strategy,1
48895,age,1
48895,honor,1
48895,positive negative,1
48895,adolescence,1
48895,strong right,1
48895,young adult,1
48895,attitude intention,1
48895,justice,1
48895,general right wing,1
643,discrimination,1
643,threat,1
643,radicalism,1
643,negative consequence,1
643,adolescence,1
643,status,1
643,family,1
643,social network,1
643,society,1
27955,little attitude,1
27955,political social,1
27955,islamist,1
27955,high support,1
27955,violence adolescent,1
27955,radicalism,1
27955,identity,1
27955,social cohesion,1
27955,use violence political,1
27955,motivated violence,1
27955,adolescence,1
27955,social attitude,1
27955,support use,1
27955,first step,1
27955,violence significant,1
27955,use violence,1
27955,muslim youth,1
27955,political support,1
27955,minority,1
27955,cognition,1
27955,religious affiliation,1
27955,significant support,1
27955,position political,1
27955,society,1
1004,illegal violent,1
1004,activism,1
1004,legal non violent,1
1004,radicalism,1
1004,morality,1
1004,identity,1
1004,age,1
1004,adolescence,1
1004,social exclusion,1
1004,late adolescence,1
1004,mobilization,1
1004,employment,1
922,specific right wing,1
922,radicalism,1
922,identity,1
922,right wing attitude,1
922,adolescence,1
922,deprivation,1
922,culture,1
922,status,1
922,family,1
922,right wing,1
922,sex,1
922,cognition,1
922,norms,1
1116,radicalism,1
1116,deviance,1
1116,acceptance violence,1
1116,far left,1
1116,ideology,1
1116,right wing left,1
1116,violence,1
1116,cognition,1
1674,threat,1
1674,uncertainty,1
1674,identity,1
1674,elsevi right,1
1674,radicalism,1
1674,behavioral intention,1
7002,key theme,1
7002,many way,1
7002,nonviolent violent,1
7002,way violent,1
7002,radicalism,1
815,violence systematic,1
815,violence present,1
815,radicalism,1
815,far right,1
815,potential violence,1
815,right violence,1
815,violence,1
815,state,1
815,criminality,1
815,society,1
815,security,1
2554,vulnerable violent,1
2554,radicalism,1
2554,intention violent,1
2554,intention relationship,1
2554,large representative,1
2554,attitude violent,1
2554,vast majority,1
2554,deprivation,1
2554,present relationship,1
2554,open minded,1
2554,cognition,1
2554,justice,1
2554,personality,1
18382,threat,1
18382,nationalism,1
18382,radicalism,1
18382,far right,1
18382,prejudice,1
18382,identity,1
18382,violence key,1
18382,right wing belief,1
18382,present political,1
18382,direct indirect,1
18382,emotion,1
18382,racism,1
18382,violence main,1
18382,significant positive,1
18382,authoritarianism,1
18382,ideological attitude,1
18382,justice,1
18382,social network,1
18382,adolescent young adult,1
18382,criminality,1
18382,superiority,1
874,new social,1
874,radicalism,1
874,conflict,1
874,economy,1
874,deviance,1
874,identity,1
874,ideology,1
874,elites,1
874,integration,1
874,adolescence,1
874,victimization,1
874,late adolescence,1
874,conflict economic,1
874,genes,1
874,cognition,1
874,social change,1
874,dynamic social,1
874,society,1
874,crisis,1
4721,threat,1
4721,nationalism,1
4721,radicalism,1
4721,far right,1
4721,support right wing,1
4721,self control,1
4721,identity,1
4721,morality,1
4721,motivated violence,1
4721,violence high,1
4721,major source,1
4721,emotion,1
4721,present gap,1
4721,racism,1
4721,justice,1
4721,social network,1
4721,adolescent young adult,1
4721,criminality,1
4721,superiority,1
932,intergroup attitude,1
932,new social,1
932,negative intergroup,1
932,radicalism,1
932,deviance,1
932,prejudice,1
932,ideology,1
932,identity,1
932,norms,1
932,society,1
