"term1","term2","cooc","id"
"populism","far right",68,"far rightpopulism"
"immigration","far right",59,"far rightimmigration"
"far right","elections",47,"electionsfar right"
"religiosity","islamist",46,"islamistreligiosity"
"nationalism","far right",45,"far rightnationalism"
"social media","internet",37,"internetsocial media"
"islamist","foreign fighter",32,"foreign fighterislamist"
"populism","nationalism",29,"nationalismpopulism"
"islamist","internet",27,"internetislamist"
"violence","religiosity",26,"religiosityviolence"
"populism","elections",24,"electionspopulism"
"religiosity","identity",24,"identityreligiosity"
"social media","islamist",24,"islamistsocial media"
"politics","far right",23,"far rightpolitics"
"islamist","identity",23,"identityislamist"
"immigration","elections",22,"electionsimmigration"
"internet","far right",22,"far rightinternet"
"violence","conflict",21,"conflictviolence"
"sex","far right",21,"far rightsex"
"social media","far right",21,"far rightsocial media"
"identity","far right",20,"far rightidentity"
"norms","identity",20,"identitynorms"
"populism","immigration",20,"immigrationpopulism"
"sex","islamist",20,"islamistsex"
"religiosity","fundamentalism",19,"fundamentalismreligiosity"
"identity","fusion",19,"fusionidentity"
"nationalism","identity",19,"identitynationalism"
"islamist","conflict",18,"conflictislamist"
"justice","conflict",18,"conflictjustice"
"norms","conflict",18,"conflictnorms"
"justice","deprivation",18,"deprivationjustice"
"social exclusion","deprivation",18,"deprivationsocial exclusion"
"justice","economy",18,"economyjustice"
"far right","far left",18,"far leftfar right"
"prejudice","far right",18,"far rightprejudice"
"identity","activism",17,"activismidentity"
"security","conflict",17,"conflictsecurity"
"far right","crisis",17,"crisisfar right"
"immigration","crisis",17,"crisisimmigration"
"norms","far right",17,"far rightnorms"
"threat","identity",17,"identitythreat"
"islamist","ideology",17,"ideologyislamist"
"nationalism","immigration",17,"immigrationnationalism"
"propaganda","internet",17,"internetpropaganda"
"norms","islamist",17,"islamistnorms"
"propaganda","islamist",17,"islamistpropaganda"
"immigration","economy",16,"economyimmigration"
"islamist","far right",16,"far rightislamist"
"immigration","identity",16,"identityimmigration"
"prejudice","immigration",16,"immigrationprejudice"
"violence","islamist",16,"islamistviolence"
"sex","masculinity",16,"masculinitysex"
"racism","far right",15,"far rightracism"
"identity","conflict",14,"conflictidentity"
"far right","culture",14,"culturefar right"
"far left","elections",14,"electionsfar left"
"religiosity","far right",14,"far rightreligiosity"
"justice","identity",14,"identityjustice"
"uncertainty","identity",14,"identityuncertainty"
"violence","ideology",14,"ideologyviolence"
"white race","superiority",14,"superioritywhite race"
"emotion","conflict",13,"conflictemotion"
"far right","criminality",13,"criminalityfar right"
"internet","criminality",13,"criminalityinternet"
"islamist","criminality",13,"criminalityislamist"
"far right","discourse",13,"discoursefar right"
"far right","economy",13,"economyfar right"
"far right","employment",13,"employmentfar right"
"social movements","far right",13,"far rightsocial movements"
"sex","male supremacist",13,"male supremacistsex"
"far right","authoritarianism",12,"authoritarianismfar right"
"norms","democracy",12,"democracynorms"
"threat","emotion",12,"emotionthreat"
"hate","far right",12,"far righthate"
"islamophobia","far right",12,"far rightislamophobia"
"religiosity","immigration",12,"immigrationreligiosity"
"social media","polarization",12,"polarizationsocial media"
"social network","social media",12,"social mediasocial network"
"far right","democracy",11,"democracyfar right"
"religiosity","education",11,"educationreligiosity"
"superiority","far right",11,"far rightsuperiority"
"islamist","fundamentalism",11,"fundamentalismislamist"
"social exclusion","identity",11,"identitysocial exclusion"
"religiosity","ideology",11,"ideologyreligiosity"
"security","internet",11,"internetsecurity"
"social network","internet",11,"internetsocial network"
"masculinity","male supremacist",11,"male supremacistmasculinity"
"religiosity","nationalism",11,"nationalismreligiosity"
