"term1","term2","cooc","id"
"radicalism","far left",51,"far leftradicalism"
"far right","far left",18,"far leftfar right"
"radicalism","far right",16,"far rightradicalism"
"far left","elections",14,"electionsfar left"
"radicalism","elections",13,"electionsradicalism"
"populism","far left",9,"far leftpopulism"
"radicalism","populism",7,"populismradicalism"
"far left","criminality",5,"criminalityfar left"
"radicalism","criminality",5,"criminalityradicalism"
"far left","economy",5,"economyfar left"
"populism","elections",5,"electionspopulism"
