"term1","term2","cooc","id"
"radicalism","far right",275,"far rightradicalism"
"populism","far right",68,"far rightpopulism"
"immigration","far right",59,"far rightimmigration"
"radicalism","populism",53,"populismradicalism"
"far right","elections",47,"electionsfar right"
"nationalism","far right",45,"far rightnationalism"
"radicalism","elections",33,"electionsradicalism"
"radicalism","nationalism",33,"nationalismradicalism"
"radicalism","immigration",31,"immigrationradicalism"
"politics","far right",23,"far rightpolitics"
"internet","far right",22,"far rightinternet"
"sex","far right",21,"far rightsex"
"social media","far right",21,"far rightsocial media"
"identity","far right",20,"far rightidentity"
"radicalism","internet",19,"internetradicalism"
"far right","far left",18,"far leftfar right"
"prejudice","far right",18,"far rightprejudice"
"far right","crisis",17,"crisisfar right"
"norms","far right",17,"far rightnorms"
"radicalism","far left",16,"far leftradicalism"
"islamist","far right",16,"far rightislamist"
"radicalism","politics",16,"politicsradicalism"
"sex","radicalism",16,"radicalismsex"
"racism","far right",15,"far rightracism"
"radicalism","identity",15,"identityradicalism"
"radicalism","norms",15,"normsradicalism"
"social media","radicalism",15,"radicalismsocial media"
"far right","culture",14,"culturefar right"
"religiosity","far right",14,"far rightreligiosity"
"populism","nationalism",14,"nationalismpopulism"
"far right","criminality",13,"criminalityfar right"
"far right","discourse",13,"discoursefar right"
"far right","economy",13,"economyfar right"
"far right","employment",13,"employmentfar right"
"social movements","far right",13,"far rightsocial movements"
"radicalism","islamist",13,"islamistradicalism"
"radicalism","prejudice",13,"prejudiceradicalism"
"far right","authoritarianism",12,"authoritarianismfar right"
"hate","far right",12,"far righthate"
"islamophobia","far right",12,"far rightislamophobia"
"populism","immigration",12,"immigrationpopulism"
"radicalism","criminality",11,"criminalityradicalism"
"far right","democracy",11,"democracyfar right"
"superiority","far right",11,"far rightsuperiority"
"far right","adolescence",10,"adolescencefar right"
"far right","deprivation",10,"deprivationfar right"
"immigration","elections",10,"electionsimmigration"
"far right","emotion",10,"emotionfar right"
"justice","far right",10,"far rightjustice"
"white race","far right",10,"far rightwhite race"
"nationalism","immigration",10,"immigrationnationalism"
"religiosity","radicalism",10,"radicalismreligiosity"
"immigration","crisis",9,"crisisimmigration"
"radicalism","crisis",9,"crisisradicalism"
"radicalism","democracy",9,"democracyradicalism"
"radicalism","deprivation",9,"deprivationradicalism"
"radicalism","employment",9,"employmentradicalism"
"ideology","far right",9,"far rightideology"
"mobilization","far right",9,"far rightmobilization"
"threat","far right",9,"far rightthreat"
"radicalism","hate",9,"hateradicalism"
"radicalism","authoritarianism",8,"authoritarianismradicalism"
"far right","competition",8,"competitionfar right"
"radicalism","emotion",8,"emotionradicalism"
"masculinity","far right",8,"far rightmasculinity"
"trust","far right",8,"far righttrust"
"violence","far right",8,"far rightviolence"
"far right","activism",7,"activismfar right"
"radicalism","adolescence",7,"adolescenceradicalism"
"radicalism","culture",7,"cultureradicalism"
"radicalism","discourse",7,"discourseradicalism"
"right wing populism","far right",7,"far rightright wing populism"
"radicalism","islamophobia",7,"islamophobiaradicalism"
"prejudice","populism",7,"populismprejudice"
"radicalism","racism",7,"racismradicalism"
"superiority","radicalism",7,"radicalismsuperiority"
"white race","superiority",7,"superioritywhite race"
"elections","competition",6,"competitionelections"
"radicalism","competition",6,"competitionradicalism"
"radicalism","economy",6,"economyradicalism"
"far right","education",6,"educationfar right"
"populism","elections",6,"electionspopulism"
"far right","euroscepticism",6,"euroscepticismfar right"
"radicalism","euroscepticism",6,"euroscepticismradicalism"
"polarization","far right",6,"far rightpolarization"
"social network","far right",6,"far rightsocial network"
"radicalism","ideology",6,"ideologyradicalism"
"politics","immigration",6,"immigrationpolitics"
"radicalism","justice",6,"justiceradicalism"
"radicalism","masculinity",6,"masculinityradicalism"
"radicalism","mobilization",6,"mobilizationradicalism"
"prejudice","nationalism",6,"nationalismprejudice"
"radicalism","polarization",6,"polarizationradicalism"
"religiosity","populism",6,"populismreligiosity"
"threat","radicalism",6,"radicalismthreat"
