"term1","term2","cooc","id"
"radicalism","islamist",285,"islamistradicalism"
"religiosity","islamist",46,"islamistreligiosity"
"islamist","foreign fighter",32,"foreign fighterislamist"
"religiosity","radicalism",28,"radicalismreligiosity"
"islamist","internet",27,"internetislamist"
"radicalism","internet",25,"internetradicalism"
"social media","islamist",24,"islamistsocial media"
"islamist","identity",23,"identityislamist"
"radicalism","foreign fighter",22,"foreign fighterradicalism"
"sex","islamist",20,"islamistsex"
"social media","radicalism",20,"radicalismsocial media"
"islamist","conflict",18,"conflictislamist"
"islamist","ideology",17,"ideologyislamist"
"norms","islamist",17,"islamistnorms"
"propaganda","islamist",17,"islamistpropaganda"
"islamist","far right",16,"far rightislamist"
"violence","islamist",16,"islamistviolence"
"radicalism","propaganda",16,"propagandaradicalism"
"sex","radicalism",16,"radicalismsex"
"radicalism","identity",14,"identityradicalism"
"islamist","criminality",13,"criminalityislamist"
"radicalism","criminality",13,"criminalityradicalism"
"radicalism","far right",13,"far rightradicalism"
"radicalism","norms",13,"normsradicalism"
"radicalism","conflict",12,"conflictradicalism"
"islamist","fundamentalism",11,"fundamentalismislamist"
"radicalism","ideology",11,"ideologyradicalism"
"islamist","democracy",10,"democracyislamist"
"islamist","emotion",10,"emotionislamist"
"islamist","immigration",10,"immigrationislamist"
"nationalism","islamist",10,"islamistnationalism"
"radicalism","immigration",9,"immigrationradicalism"
"security","islamist",9,"islamistsecurity"
"social network","islamist",9,"islamistsocial network"
"security","radicalism",9,"radicalismsecurity"
"islamist","deprivation",8,"deprivationislamist"
"justice","islamist",8,"islamistjustice"
"radicalism","emotion",7,"emotionradicalism"
"radicalism","fundamentalism",7,"fundamentalismradicalism"
"recruitment","islamist",7,"islamistrecruitment"
"social movements","islamist",7,"islamistsocial movements"
"radicalism","justice",7,"justiceradicalism"
"radicalism","nationalism",7,"nationalismradicalism"
"islamist","adolescence",6,"adolescenceislamist"
"islamist","cognition",6,"cognitionislamist"
"radicalism","cognition",6,"cognitionradicalism"
"radicalism","deprivation",6,"deprivationradicalism"
"islamist","education",6,"educationislamist"
"religiosity","fundamentalism",6,"fundamentalismreligiosity"
"religiosity","identity",6,"identityreligiosity"
"social media","internet",6,"internetsocial media"
"recruitment","radicalism",6,"radicalismrecruitment"
